id,tarih,ürün,ürün besin değeri,ürün kategorisi,ürün üretim yeri,market,şehir
111,2024-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt dışı,K,S
112,2024-01-01,Bulgur,350,tahıl ve ürünleri,Yurt dışı,K,S
113,2024-01-01,Erişte,390,tahıl ve ürünleri,Yurt dışı,K,S
114,2024-01-01,Makarna,390,tahıl ve ürünleri,Yurt dışı,K,S
115,2024-01-01,Mısır,351,tahıl ve ürünleri,Yurt dışı,K,S
116,2024-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt dışı,K,S
117,2024-01-01,Nişasta,353,tahıl ve ürünleri,Yurt dışı,K,S
118,2024-01-01,Pilav,368,tahıl ve ürünleri,Yurt dışı,K,S
119,2024-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt dışı,K,S
120,2024-01-01,Şehriye,390,tahıl ve ürünleri,Yurt dışı,K,S
121,2024-01-01,Tarhana,329,tahıl ve ürünleri,Yurt dışı,K,S
122,2024-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt dışı,K,S
123,2024-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
124,2024-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
125,2024-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
126,2024-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
127,2024-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
128,2024-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
129,2024-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
130,2024-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
131,2024-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
132,2024-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
133,2024-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
134,2024-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt dışı,K,S
135,2024-01-01,Armut,57,meyve,Yurt dışı,K,S
136,2024-01-01,Çilek,39,meyve,Yurt dışı,K,S
137,2024-01-01,Elma,52,meyve,Yurt dışı,K,S
138,2024-01-01,Erik türleri,60,meyve,Yurt dışı,K,S
139,2024-01-01,İncir,80,meyve,Yurt dışı,K,S
140,2024-01-01,Karadut,93,meyve,Yurt dışı,K,S
141,2024-01-01,Karpuz,24,meyve,Yurt dışı,K,S
142,2024-01-01,Kavun,28,meyve,Yurt dışı,K,S
143,2024-01-01,Kayısı,54,meyve,Yurt dışı,K,S
144,2024-01-01,Kiraz,79,meyve,Yurt dışı,K,S
145,2024-01-01,Limon,17,meyve,Yurt dışı,K,S
146,2024-01-01,Mandalina,36,meyve,Yurt dışı,K,S
147,2024-01-01,Muz,90,meyve,Yurt dışı,K,S
148,2024-01-01,Nar,77,meyve,Yurt dışı,K,S
149,2024-01-01,Portakal,41,meyve,Yurt dışı,K,S
150,2024-01-01,Şeftali,49,meyve,Yurt dışı,K,S
151,2024-01-01,Üzüm,74,meyve,Yurt dışı,K,S
152,2024-01-01,Vişne,57,meyve,Yurt dışı,K,S
153,2024-01-01,fındık,110,kuruyemiş,Yurt dışı,K,S
154,2024-01-01,fıstık,115,kuruyemiş,Yurt dışı,K,S
155,2024-01-01,kaju,100,kuruyemiş,Yurt dışı,K,S
156,2024-01-01,badem,110,kuruyemiş,Yurt dışı,K,S
157,2024-01-01,ceviz,120,kuruyemiş,Yurt dışı,K,S
158,2024-01-01,kıyma,120,et,Yurt içi,C,S
159,2024-01-01,tavuk,103,et,Yurt içi,C,S
160,2024-01-01,hindi,160,et,Yurt içi,C,S
161,2024-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,C,S
162,2024-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt içi,C,S
163,2024-01-01,Bamya,42,sebze ve bakliyat,Yurt içi,C,S
164,2024-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,C,S
165,2024-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,C,S
166,2024-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,C,S
167,2024-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,C,S
168,2024-01-01,Domates,25,sebze ve bakliyat,Yurt içi,C,S
169,2024-01-01,Enginar,63,sebze ve bakliyat,Yurt içi,C,S
170,2024-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,C,S
171,2024-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,C,S
172,2024-01-01,Havuç,42,sebze ve bakliyat,Yurt içi,C,S
173,2024-01-01,Salatalık,8,sebze ve bakliyat,Yurt içi,C,S
174,2024-01-01,Ispanak,25,sebze ve bakliyat,Yurt içi,C,S
175,2024-01-01,Kabak,19,sebze ve bakliyat,Yurt içi,C,S
176,2024-01-01,Karnabahar,25,sebze ve bakliyat,Yurt içi,C,S
177,2024-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,C,S
178,2024-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,C,S
179,2024-01-01,Lahana,24,sebze ve bakliyat,Yurt içi,C,S
180,2024-01-01,Mantar,16,sebze ve bakliyat,Yurt içi,C,S
181,2024-01-01,Marul,15,sebze ve bakliyat,Yurt içi,C,S
182,2024-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,C,S
183,2024-01-01,Nohut,376,sebze ve bakliyat,Yurt içi,C,S
184,2024-01-01,Pancar,42,sebze ve bakliyat,Yurt içi,C,S
185,2024-01-01,Patates,83,sebze ve bakliyat,Yurt içi,C,S
186,2024-01-01,Patlıcan,24,sebze ve bakliyat,Yurt içi,C,S
187,2024-01-01,Pazı,27,sebze ve bakliyat,Yurt içi,C,S
188,2024-01-01,Pırasa,52,sebze ve bakliyat,Yurt içi,C,S
189,2024-01-01,Semizotu,32,sebze ve bakliyat,Yurt içi,C,S
190,2024-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,C,S
191,2024-01-01,Bulgur,350,tahıl ve ürünleri,Yurt içi,C,S
192,2024-01-01,Erişte,390,tahıl ve ürünleri,Yurt içi,C,S
193,2024-01-01,Makarna,390,tahıl ve ürünleri,Yurt içi,C,S
194,2024-01-01,Mısır,351,tahıl ve ürünleri,Yurt içi,C,S
195,2024-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt içi,C,S
196,2024-01-01,Nişasta,353,tahıl ve ürünleri,Yurt içi,C,S
197,2024-01-01,Pilav,368,tahıl ve ürünleri,Yurt içi,C,S
198,2024-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,C,S
199,2024-01-01,Şehriye,390,tahıl ve ürünleri,Yurt içi,C,S
200,2024-01-01,Tarhana,329,tahıl ve ürünleri,Yurt içi,C,S
201,2024-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,C,S
202,2024-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,C,S
203,2024-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt içi,C,S
204,2024-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt içi,C,S
205,2024-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt içi,C,S
206,2024-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt içi,C,S
207,2024-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt içi,C,S
208,2024-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt içi,C,S
209,2024-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt içi,C,S
210,2024-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt içi,C,S
211,2024-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt içi,C,S
212,2024-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt içi,C,S
213,2024-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt içi,C,S
214,2024-01-01,Armut,57,meyve,Yurt içi,C,S
215,2024-01-01,Çilek,39,meyve,Yurt içi,C,S
216,2024-01-01,Elma,52,meyve,Yurt içi,C,S
217,2024-01-01,Erik türleri,60,meyve,Yurt içi,C,S
218,2024-01-01,İncir,80,meyve,Yurt içi,C,S
219,2024-01-01,Karadut,93,meyve,Yurt içi,C,S
220,2024-01-01,Karpuz,24,meyve,Yurt içi,C,S
221,2024-01-01,Kavun,28,meyve,Yurt içi,C,S
222,2024-01-01,Kayısı,54,meyve,Yurt içi,C,S
223,2024-01-01,Kiraz,79,meyve,Yurt içi,C,S
224,2024-01-01,Limon,17,meyve,Yurt içi,C,S
225,2024-01-01,Mandalina,36,meyve,Yurt içi,C,S
226,2024-01-01,Muz,90,meyve,Yurt içi,C,S
227,2024-01-01,Nar,77,meyve,Yurt içi,C,S
228,2024-01-01,Portakal,41,meyve,Yurt içi,C,S
229,2024-01-01,Şeftali,49,meyve,Yurt içi,C,S
230,2024-01-01,Üzüm,74,meyve,Yurt içi,C,S
231,2024-01-01,Vişne,57,meyve,Yurt içi,C,S
232,2024-01-01,fındık,110,kuruyemiş,Yurt içi,C,S
233,2024-01-01,fıstık,115,kuruyemiş,Yurt içi,C,S
234,2024-01-01,kaju,100,kuruyemiş,Yurt içi,C,S
235,2024-01-01,badem,110,kuruyemiş,Yurt içi,C,S
236,2024-01-01,ceviz,120,kuruyemiş,Yurt içi,C,S
237,2024-01-01,kıyma,120,et,Yurt dışı,C,S
238,2024-01-01,tavuk,103,et,Yurt dışı,C,S
239,2024-01-01,hindi,160,et,Yurt dışı,C,S
240,2024-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt dışı,C,S
241,2024-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt dışı,C,S
242,2024-01-01,Bamya,42,sebze ve bakliyat,Yurt dışı,C,S
243,2024-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt dışı,C,S
244,2024-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt dışı,C,S
245,2024-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt dışı,C,S
246,2024-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt dışı,C,S
247,2024-01-01,Domates,25,sebze ve bakliyat,Yurt dışı,C,S
248,2024-01-01,Enginar,63,sebze ve bakliyat,Yurt dışı,C,S
249,2024-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt dışı,C,S
250,2024-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt dışı,C,S
251,2024-01-01,Havuç,42,sebze ve bakliyat,Yurt dışı,C,S
252,2024-01-01,Salatalık,8,sebze ve bakliyat,Yurt dışı,C,S
253,2024-01-01,Ispanak,25,sebze ve bakliyat,Yurt dışı,C,S
254,2024-01-01,Kabak,19,sebze ve bakliyat,Yurt dışı,C,S
255,2024-01-01,Karnabahar,25,sebze ve bakliyat,Yurt dışı,C,S
256,2024-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt dışı,C,S
257,2024-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt dışı,C,S
258,2024-01-01,Lahana,24,sebze ve bakliyat,Yurt dışı,C,S
259,2024-01-01,Mantar,16,sebze ve bakliyat,Yurt dışı,C,S
260,2024-01-01,Marul,15,sebze ve bakliyat,Yurt dışı,C,S
261,2024-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt dışı,C,S
262,2024-01-01,Nohut,376,sebze ve bakliyat,Yurt dışı,C,S
263,2024-01-01,Pancar,42,sebze ve bakliyat,Yurt dışı,C,S
264,2024-01-01,Patates,83,sebze ve bakliyat,Yurt dışı,C,S
265,2024-01-01,Patlıcan,24,sebze ve bakliyat,Yurt dışı,C,S
266,2024-01-01,Pazı,27,sebze ve bakliyat,Yurt dışı,C,S
267,2024-01-01,Pırasa,52,sebze ve bakliyat,Yurt dışı,C,S
268,2024-01-01,Semizotu,32,sebze ve bakliyat,Yurt dışı,C,S
269,2024-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt dışı,C,S
270,2024-01-01,Bulgur,350,tahıl ve ürünleri,Yurt dışı,C,S
271,2024-01-01,Erişte,390,tahıl ve ürünleri,Yurt dışı,C,S
272,2024-01-01,Makarna,390,tahıl ve ürünleri,Yurt dışı,C,S
273,2024-01-01,Mısır,351,tahıl ve ürünleri,Yurt dışı,C,S
274,2024-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt dışı,C,S
275,2024-01-01,Nişasta,353,tahıl ve ürünleri,Yurt dışı,C,S
276,2024-01-01,Pilav,368,tahıl ve ürünleri,Yurt dışı,C,S
277,2024-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt dışı,C,S
278,2024-01-01,Şehriye,390,tahıl ve ürünleri,Yurt dışı,C,S
279,2024-01-01,Tarhana,329,tahıl ve ürünleri,Yurt dışı,C,S
280,2024-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt dışı,C,S
281,2024-01-01,yumurta,100,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
282,2024-01-01,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
283,2024-01-01,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
284,2024-01-01,krema,200,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
285,2024-01-01,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
286,2024-01-01,sucuk,125,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
287,2024-01-01,salam,125,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
288,2024-01-01,sosis,120,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
289,2024-01-01,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
290,2024-01-01,kaymak,350,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
291,2024-01-01,bal,400,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
292,2024-01-01,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt dışı,C,S
293,2024-01-01,Armut,57,meyve,Yurt dışı,C,S
294,2024-01-01,Çilek,39,meyve,Yurt dışı,C,S
295,2024-01-01,Elma,52,meyve,Yurt dışı,C,S
296,2024-01-01,Erik türleri,60,meyve,Yurt dışı,C,S
297,2024-01-01,İncir,80,meyve,Yurt dışı,C,S
298,2024-01-01,Karadut,93,meyve,Yurt dışı,C,S
299,2024-01-01,Karpuz,24,meyve,Yurt dışı,C,S
300,2024-01-01,Kavun,28,meyve,Yurt dışı,C,S
301,2024-01-01,Kayısı,54,meyve,Yurt dışı,C,S
302,2024-01-01,Kiraz,79,meyve,Yurt dışı,C,S
303,2024-01-01,Limon,17,meyve,Yurt dışı,C,S
304,2024-01-01,Mandalina,36,meyve,Yurt dışı,C,S
305,2024-01-01,Muz,90,meyve,Yurt dışı,C,S
306,2024-01-01,Nar,77,meyve,Yurt dışı,C,S
307,2024-01-01,Portakal,41,meyve,Yurt dışı,C,S
308,2024-01-01,Şeftali,49,meyve,Yurt dışı,C,S
309,2024-01-01,Üzüm,74,meyve,Yurt dışı,C,S
310,2024-01-01,Vişne,57,meyve,Yurt dışı,C,S
311,2024-01-01,fındık,110,kuruyemiş,Yurt dışı,C,S
312,2024-01-01,fıstık,115,kuruyemiş,Yurt dışı,C,S
313,2024-01-01,kaju,100,kuruyemiş,Yurt dışı,C,S
314,2024-01-01,badem,110,kuruyemiş,Yurt dışı,C,S
315,2024-01-01,ceviz,120,kuruyemiş,Yurt dışı,C,S
316,2024-01-01,kıyma,120,et,Yurt içi,Y,S
317,2024-01-01,tavuk,103,et,Yurt içi,Y,S
318,2024-01-01,hindi,160,et,Yurt içi,Y,S
319,2024-01-01,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,Y,S
320,2024-01-01,Bakla-taze,72,sebze ve bakliyat,Yurt içi,Y,S
321,2024-01-01,Bamya,42,sebze ve bakliyat,Yurt içi,Y,S
322,2024-01-01,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,Y,S
323,2024-01-01,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,Y,S
324,2024-01-01,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,Y,S
325,2024-01-01,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,Y,S
326,2024-01-01,Domates,25,sebze ve bakliyat,Yurt içi,Y,S
327,2024-01-01,Enginar,63,sebze ve bakliyat,Yurt içi,Y,S
328,2024-01-01,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,Y,S
329,2024-01-01,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,Y,S
330,2024-01-01,Havuç,42,sebze ve bakliyat,Yurt içi,Y,S
331,2024-01-01,Salatalık,8,sebze ve bakliyat,Yurt içi,Y,S
332,2024-01-01,Ispanak,25,sebze ve bakliyat,Yurt içi,Y,S
333,2024-01-01,Kabak,19,sebze ve bakliyat,Yurt içi,Y,S
334,2024-01-01,Karnabahar,25,sebze ve bakliyat,Yurt içi,Y,S
335,2024-01-01,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,Y,S
336,2024-01-01,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,Y,S
337,2024-01-01,Lahana,24,sebze ve bakliyat,Yurt içi,Y,S
338,2024-01-01,Mantar,16,sebze ve bakliyat,Yurt içi,Y,S
339,2024-01-01,Marul,15,sebze ve bakliyat,Yurt içi,Y,S
340,2024-01-01,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,Y,S
341,2024-01-01,Nohut,376,sebze ve bakliyat,Yurt içi,Y,S
342,2024-01-01,Pancar,42,sebze ve bakliyat,Yurt içi,Y,S
343,2024-01-01,Patates,83,sebze ve bakliyat,Yurt içi,Y,S
344,2024-01-01,Patlıcan,24,sebze ve bakliyat,Yurt içi,Y,S
345,2024-01-01,Pazı,27,sebze ve bakliyat,Yurt içi,Y,S
346,2024-01-01,Pırasa,52,sebze ve bakliyat,Yurt içi,Y,S
347,2024-01-01,Semizotu,32,sebze ve bakliyat,Yurt içi,Y,S
348,2024-01-01,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,Y,S
349,2024-01-01,Bulgur,350,tahıl ve ürünleri,Yurt içi,Y,S
350,2024-01-01,Erişte,390,tahıl ve ürünleri,Yurt içi,Y,S
351,2024-01-01,Makarna,390,tahıl ve ürünleri,Yurt içi,Y,S
352,2024-01-01,Mısır,351,tahıl ve ürünleri,Yurt içi,Y,S
353,2024-01-01,Mısır unu,353,tahıl ve ürünleri,Yurt içi,Y,S
354,2024-01-01,Nişasta,353,tahıl ve ürünleri,Yurt içi,Y,S
355,2024-01-01,Pilav,368,tahıl ve ürünleri,Yurt içi,Y,S
356,2024-01-01,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,Y,S
357,2024-01-01,Şehriye,390,tahıl ve ürünleri,Yurt içi,Y,S
358,2024-01-01,Tarhana,329,tahıl ve ürünleri,Yurt içi,Y,S
359,2024-01-01,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,Y,S
